date,year,profession,category,region,latitude,longitude,salary,demand,automation_level,verdict,trend
2026-04-07,2026,Копирайтер,рутинная,Чукотский АО,65.0,175.0,224583,1000,0.479,вымрет,declining
2026-04-07,2026,Токарь,физическая,Сахалинская область,50.0,142.0,276373,1000,0.099,останется,growing
2026-04-07,2026,Токарь,физическая,Ненецкий АО,67.6,52.9,278215,1000,0.085,останется,growing
2026-04-07,2026,Токарь,физическая,Магаданская область,59.5,150.8,280979,1000,0.085,останется,growing
2026-04-07,2026,Токарь,физическая,Москва,55.8,37.6,296640,1500,0.197,останется,growing
2026-04-07,2026,Токарь,физическая,Ямало-Ненецкий АО,66.5,76.5,318750,1000,0.092,останется,growing
2026-04-07,2026,Токарь,физическая,Чукотский АО,65.0,175.0,355600,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Ингушетия,43.2,44.9,76668,1000,0.056,останется,growing
2026-04-07,2026,Сварщик,физическая,Чеченская Республика,43.3,45.7,83057,1000,0.056,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Дагестан,42.5,47.5,89446,1000,0.056,останется,growing
2026-04-07,2026,Сварщик,физическая,Карачаево-Черкесская Республика,43.8,41.8,99030,1000,0.07,останется,growing
2026-04-07,2026,Сварщик,физическая,Кабардино-Балкарская Республика,43.5,43.6,100627,1000,0.07,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Северная Осетия,43.0,44.7,102224,1000,0.07,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Мордовия,54.4,45.2,103822,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Марий Эл,56.6,47.9,105419,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Калмыкия,46.3,44.3,107016,1000,0.07,останется,growing
2026-04-07,2026,Сварщик,физическая,Республика Адыгея,44.6,40.1,108613,1000,0.085,останется,growing
2026-04-07,2026,Сварщик,физическая,Смоленская область,54.8,32.0,111808,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Брянская область,53.2,34.4,113405,1000,0.113,останется,growing
2026-04-07,2026,Сварщик,физическая,Курская область,51.7,36.2,115003,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Камчатский край,53.0,158.0,263107,1000,0.092,останется,growing
2026-04-07,2026,Сварщик,физическая,Орловская область,52.9,36.1,116600,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Ханты-Мансийский АО,61.0,69.0,254263,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Мурманская область,68.0,33.0,243208,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Кемеровская область,55.4,86.1,171351,1000,0.127,останется,growing
2026-04-07,2026,Токарь,физическая,Самарская область,53.2,50.2,173194,1000,0.162,останется,growing
2026-04-07,2026,Токарь,физическая,Новосибирская область,55.0,82.9,175036,1000,0.148,останется,growing
2026-04-07,2026,Токарь,физическая,Республика Карелия,61.8,34.3,184249,1000,0.113,останется,growing
2026-04-07,2026,Токарь,физическая,Приморский край,43.1,131.8,186091,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Хабаровский край,48.5,135.1,187934,1000,0.12,останется,growing
2026-04-07,2026,Токарь,физическая,Пермский край,58.0,56.2,189776,1000,0.148,останется,growing
2026-04-07,2026,Токарь,физическая,Нижегородская область,56.3,44.0,191619,1000,0.169,останется,growing
2026-04-07,2026,Токарь,физическая,Ленинградская область,60.0,31.0,193461,1000,0.141,останется,growing
